"STATION","NAME","DATE","PRCP","TMAX","TMIN"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-28","0.02","69","55"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-29","0.00","71","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-04-30","0.00","78","54"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-01","0.00","79","56"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-02","0.00","77","55"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-03","0.00","78","56"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-04","0.00","80","55"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-05","1.08","56","50"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-06","0.00","75","51"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-07","0.00","69","40"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-08","0.00","68","45"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-09","0.00","85","58"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-10","0.00","90","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-11","0.00","85","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-12","0.00","85","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-13","0.00","88","68"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-14","0.00","92","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-15","0.01","93","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-16","0.00","73","60"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-17","0.00","80","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-18","0.38","79","48"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-19","0.00","73","52"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-20","0.00","85","59"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-21","0.00","90","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-22","0.00","87","59"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-23","0.00","83","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-24","0.00","91","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-25","0.00","90","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-26","1.94","80","70"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-27","0.13","78","63"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-28","0.00","82","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-29","0.00","78","57"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-30","0.00","77","61"
"USC00310674","BELHAVEN 1 SE, NC US","1970-05-31","0.00","79","59"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-01","0.00","80","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-02","0.00","81","64"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-03","0.00","82","66"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-04","0.00","84","67"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-05","0.00","87","71"
"USC00310674","BELHAVEN 1 SE, NC US","1970-06-06","0.01","84","71"
