"STATION","NAME","DATE","DAPR","MDPR","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"USC00310375","GAYLORD BAY, NC US","2010-06-10",,,"0.00","0.0","0.0",,,
"USC00310375","GAYLORD BAY, NC US","2010-06-11",,,"0.00","0.0","0.0","95","73","78"
"USC00310375","GAYLORD BAY, NC US","2010-06-12",,,"0.00","0.0","0.0","90","76",
"USC00310375","GAYLORD BAY, NC US","2010-06-13",,,"0.00","0.0","0.0","95","74",
"USC00310375","GAYLORD BAY, NC US","2010-06-14",,,"0.07","0.0","0.0","98","73","79"
"USC00310375","GAYLORD BAY, NC US","2010-06-15",,,"0.00","0.0","0.0","97","76","80"
"USC00310375","GAYLORD BAY, NC US","2010-06-16",,,"0.00","0.0","0.0","95","76","80"
"USC00310375","GAYLORD BAY, NC US","2010-06-17",,,"1.26","0.0","0.0","89","73","78"
"USC00310375","GAYLORD BAY, NC US","2010-06-18",,,"0.00","0.0","0.0","94","76","76"
"USC00310375","GAYLORD BAY, NC US","2010-06-19",,,"0.00","0.0","0.0","94","76",
"USC00310375","GAYLORD BAY, NC US","2010-06-20",,,"0.00","0.0","0.0","86","75",
"USC00310375","GAYLORD BAY, NC US","2010-06-21",,,"1.74","0.0","0.0","88","72","77"
"USC00310375","GAYLORD BAY, NC US","2010-06-22",,,"0.00","0.0","0.0","95","77","79"
"USC00310375","GAYLORD BAY, NC US","2010-06-23",,,"0.00","0.0","0.0","96","78","80"
"USC00310375","GAYLORD BAY, NC US","2010-06-24",,,"0.00","0.0","0.0","100","77","80"
"USC00310375","GAYLORD BAY, NC US","2010-06-25",,,"0.00","0.0","0.0","98","79","81"
"USC00310375","GAYLORD BAY, NC US","2010-06-26",,,"0.00","0.0","0.0","98","76",
"USC00310375","GAYLORD BAY, NC US","2010-06-27",,,"0.00","0.0","0.0","97","77",
"USC00310375","GAYLORD BAY, NC US","2010-06-28",,,"0.00","0.0","0.0","94","76","79"
"USC00310375","GAYLORD BAY, NC US","2010-06-29",,,"0.00","0.0","0.0","95","77","79"
"USC00310375","GAYLORD BAY, NC US","2010-06-30",,,"1.47","0.0","0.0","97","70","75"
"USC00310375","GAYLORD BAY, NC US","2010-07-01",,,"2.59","0.0","0.0","83","71","71"
"USC00310375","GAYLORD BAY, NC US","2010-07-02",,,"0.00","0.0","0.0","83","68","72"
"USC00310375","GAYLORD BAY, NC US","2010-07-03",,,"0.00","0.0","0.0","81","61",
"USC00310375","GAYLORD BAY, NC US","2010-07-04",,,"0.00","0.0","0.0","86","67",
"USC00310375","GAYLORD BAY, NC US","2010-07-05",,,"0.00","0.0","0.0","86","67",
"USC00310375","GAYLORD BAY, NC US","2010-07-06",,,"0.00","0.0","0.0","91","68","76"
"USC00310375","GAYLORD BAY, NC US","2010-07-07",,,"0.00","0.0","0.0","96","74","81"
"USC00310375","GAYLORD BAY, NC US","2010-07-08",,,"0.00","0.0","0.0","99","72",
"USC00310375","GAYLORD BAY, NC US","2010-07-09",,,"0.00","0.0","0.0","90","72","76"
"USC00310375","GAYLORD BAY, NC US","2010-07-10",,,"0.00","0.0","0.0","89","71",
"USC00310375","GAYLORD BAY, NC US","2010-07-11",,,"0.00","0.0","0.0","91","75",
"USC00310375","GAYLORD BAY, NC US","2010-07-12",,,"0.90","0.0","0.0","91","71","77"
"USC00310375","GAYLORD BAY, NC US","2010-07-13",,,"0.00","0.0","0.0","96","77","78"
"USC00310375","GAYLORD BAY, NC US","2010-07-14",,,"0.51","0.0","0.0","93","75","75"
"USC00310375","GAYLORD BAY, NC US","2010-07-15",,,"0.28","0.0","0.0","86","74","79"
"USC00310375","GAYLORD BAY, NC US","2010-07-16",,,"0.00","0.0","0.0","89","77","79"
"USC00310375","GAYLORD BAY, NC US","2010-07-17",,,"0.00","0.0","0.0","89","79",
"USC00310375","GAYLORD BAY, NC US","2010-07-18",,,"0.00","0.0","0.0","93","74",
"USC00310375","GAYLORD BAY, NC US","2010-07-19",,,"0.22","0.0","0.0","93","74","79"
"USC00310375","GAYLORD BAY, NC US","2010-07-20",,,"0.04","0.0","0.0","93","78","80"
"USC00310375","GAYLORD BAY, NC US","2010-07-21",,,"0.00","0.0","0.0","95","77","80"
"USC00310375","GAYLORD BAY, NC US","2010-07-22",,,"0.00","0.0","0.0","95","76","79"
"USC00310375","GAYLORD BAY, NC US","2010-07-23",,,"0.00","0.0","0.0","93","79","82"
"USC00310375","GAYLORD BAY, NC US","2010-07-24",,,"0.00","0.0","0.0","97","78",
"USC00310375","GAYLORD BAY, NC US","2010-07-25",,,"0.00","0.0","0.0","96","80",
"USC00310375","GAYLORD BAY, NC US","2010-07-26",,,"0.00","0.0","0.0","98","78","82"
"USC00310375","GAYLORD BAY, NC US","2010-07-27",,,"0.00","0.0","0.0","89","79","81"
"USC00310375","GAYLORD BAY, NC US","2010-07-28",,,"0.00","0.0","0.0","85","76","80"
"USC00310375","GAYLORD BAY, NC US","2010-07-29",,,"0.00","0.0","0.0","93","76","79"
"USC00310375","GAYLORD BAY, NC US","2010-07-30",,,"0.31","0.0","0.0","93","74","77"
"USC00310375","GAYLORD BAY, NC US","2010-07-31",,,"0.00","0.0","0.0","93","72",
"USC00310375","GAYLORD BAY, NC US","2010-08-01",,,"0.00","0.0","0.0","89","67",
"USC00310375","GAYLORD BAY, NC US","2010-08-02",,,"0.32","0.0","0.0","83","67","73"
"USC00310375","GAYLORD BAY, NC US","2010-08-03",,,"0.00","0.0","0.0","85","73","81"
"USC00310375","GAYLORD BAY, NC US","2010-08-04",,,"0.00","0.0","0.0","86","76","79"
"USC00310375","GAYLORD BAY, NC US","2010-08-05",,,"0.64","0.0","0.0","93","72","73"
"USC00310375","GAYLORD BAY, NC US","2010-08-06",,,"0.02","0.0","0.0","92","73","78"
